Entity,Code,Day,daily_vaccinations
AL,,2021-01-13,5906
AL,,2021-01-14,7083
AL,,2021-01-15,7478
AL,,2021-01-16,7498
AL,,2021-01-17,7509
AL,,2021-01-18,7517
AL,,2021-01-19,7523
AL,,2021-01-20,7880
AL,,2021-01-21,10517
AL,,2021-01-22,14107
AL,,2021-01-23,16202
AL,,2021-01-24,18294
AL,,2021-01-25,18196
AL,,2021-01-26,17738
AL,,2021-01-27,18178
AL,,2021-01-28,16153
AL,,2021-01-29,14514
AL,,2021-01-30,17271
AL,,2021-01-31,15748
AL,,2021-02-01,15381
AL,,2021-02-02,16703
AL,,2021-02-03,17414
AL,,2021-02-04,18491
AL,,2021-02-05,18526
AL,,2021-02-06,16105
AL,,2021-02-07,15480
AL,,2021-02-08,15622
AL,,2021-02-09,17012
AL,,2021-02-10,18209
AL,,2021-02-11,19258
AL,,2021-02-12,20074
AL,,2021-02-13,20855
AL,,2021-02-14,21417
AL,,2021-02-15,22405
AL,,2021-02-16,20816
AL,,2021-02-17,19174
AL,,2021-02-18,18400
AL,,2021-02-19,24002
AL,,2021-02-20,25111
AL,,2021-02-21,25194
AL,,2021-02-22,24164
AL,,2021-02-23,25489
AL,,2021-02-24,27098
AL,,2021-02-25,27531
AL,,2021-02-26,22104
AL,,2021-02-27,22022
AL,,2021-02-28,21984
AL,,2021-03-01,22111
AL,,2021-03-02,22436
AL,,2021-03-03,22904
AL,,2021-03-04,23916
AL,,2021-03-05,24388
AL,,2021-03-06,24087
AL,,2021-03-07,23947
AL,,2021-03-08,24040
AL,,2021-03-09,24118
AL,,2021-03-10,24827
AL,,2021-03-11,25376
AL,,2021-03-12,26375
AL,,2021-03-13,26935
AL,,2021-03-14,26926
AL,,2021-03-15,27106
AL,,2021-03-16,27331
AL,,2021-03-17,27167
AL,,2021-03-18,25752
AL,,2021-03-19,25356
AL,,2021-03-20,24649
AL,,2021-03-21,24865
AL,,2021-03-22,24693
AL,,2021-03-23,25307
AL,,2021-03-24,25490
AL,,2021-03-25,27004
AL,,2021-03-26,26387
AL,,2021-03-27,26439
AL,,2021-03-28,26634
AL,,2021-03-29,26759
AL,,2021-03-30,26885
AL,,2021-03-31,26617
AL,,2021-04-01,27555
AL,,2021-04-02,28865
AL,,2021-04-03,28769
AL,,2021-04-04,28533
AL,,2021-04-05,28325
AL,,2021-04-06,28468
AL,,2021-04-07,29498
AL,,2021-04-08,29195
AL,,2021-04-09,29696
AL,,2021-04-10,31155
AL,,2021-04-11,31967
AL,,2021-04-12,32519
AL,,2021-04-13,32914
AL,,2021-04-14,33381
AL,,2021-04-15,33007
AL,,2021-04-16,32034
AL,,2021-04-17,30766
AL,,2021-04-18,29953
AL,,2021-04-19,29296
AL,,2021-04-20,28635
AL,,2021-04-21,27377
AL,,2021-04-22,26702
AL,,2021-04-23,26294
AL,,2021-04-24,25832
AL,,2021-04-25,25590
AL,,2021-04-26,25809
AL,,2021-04-27,24561
AL,,2021-04-28,23898
AL,,2021-04-29,23662
AL,,2021-04-30,23076
AL,,2021-05-01,22271
AL,,2021-05-02,21615
AL,,2021-05-03,21299
AL,,2021-05-04,20711
AL,,2021-05-05,20444
AL,,2021-05-06,16178
AL,,2021-05-07,19313
AL,,2021-05-08,20088
AL,,2021-05-09,20784
AL,,2021-05-10,20899
AL,,2021-05-11,18461
AL,,2021-05-12,17244
AL,,2021-05-13,22667
AL,,2021-05-14,19034
AL,,2021-05-15,17613
AK,,2021-01-13,2842
AK,,2021-01-14,3379
AK,,2021-01-15,4400
AK,,2021-01-16,4381
AK,,2021-01-17,4369
AK,,2021-01-18,4362
AK,,2021-01-19,4356
AK,,2021-01-20,4230
AK,,2021-01-21,4187
AK,,2021-01-22,4580
AK,,2021-01-23,4997
AK,,2021-01-24,5225
AK,,2021-01-25,5003
AK,,2021-01-26,4545
AK,,2021-01-27,4758
AK,,2021-01-28,4850
AK,,2021-01-29,4186
AK,,2021-01-30,3846
AK,,2021-01-31,3619
AK,,2021-02-01,3570
AK,,2021-02-02,3613
AK,,2021-02-03,3453
AK,,2021-02-04,3440
AK,,2021-02-05,3372
AK,,2021-02-06,3411
AK,,2021-02-07,3785
AK,,2021-02-08,4131
AK,,2021-02-09,4204
AK,,2021-02-10,4356
AK,,2021-02-11,4620
AK,,2021-02-12,4776
AK,,2021-02-13,5142
AK,,2021-02-14,5393
AK,,2021-02-15,5212
AK,,2021-02-16,5448
AK,,2021-02-17,5337
AK,,2021-02-18,5268
AK,,2021-02-19,6970
AK,,2021-02-20,7466
AK,,2021-02-21,7330
AK,,2021-02-22,7266
AK,,2021-02-23,6988
AK,,2021-02-24,7148
AK,,2021-02-25,7201
AK,,2021-02-26,5444
AK,,2021-02-27,4591
AK,,2021-02-28,4229
AK,,2021-03-01,4304
AK,,2021-03-02,4288
AK,,2021-03-03,4243
AK,,2021-03-04,3905
AK,,2021-03-05,3876
AK,,2021-03-06,4155
AK,,2021-03-07,4329
AK,,2021-03-08,4248
AK,,2021-03-09,4678
AK,,2021-03-10,4917
AK,,2021-03-11,5211
AK,,2021-03-12,5294
AK,,2021-03-13,5092
AK,,2021-03-14,5473
AK,,2021-03-15,5571
AK,,2021-03-16,5280
AK,,2021-03-17,5460
AK,,2021-03-18,5390
AK,,2021-03-19,5361
AK,,2021-03-20,5490
AK,,2021-03-21,5583
AK,,2021-03-22,5493
AK,,2021-03-23,5273
AK,,2021-03-24,4758
AK,,2021-03-25,4773
AK,,2021-03-26,4817
AK,,2021-03-27,4707
AK,,2021-03-28,4152
AK,,2021-03-29,3956
AK,,2021-03-30,3969
AK,,2021-03-31,3991
AK,,2021-04-01,3861
AK,,2021-04-02,3702
AK,,2021-04-03,3513
AK,,2021-04-04,3865
AK,,2021-04-05,4022
AK,,2021-04-06,4050
AK,,2021-04-07,4207
AK,,2021-04-08,4537
AK,,2021-04-09,4664
AK,,2021-04-10,5069
AK,,2021-04-11,4676
AK,,2021-04-12,4831
AK,,2021-04-13,9046
AK,,2021-04-14,9009
AK,,2021-04-15,8075
AK,,2021-04-16,8075
AK,,2021-04-17,7732
AK,,2021-04-18,7745
AK,,2021-04-19,7467
AK,,2021-04-20,3288
AK,,2021-04-21,3574
AK,,2021-04-22,4331
AK,,2021-04-23,4098
AK,,2021-04-24,3874
AK,,2021-04-25,3447
AK,,2021-04-26,3292
AK,,2021-04-27,3223
AK,,2021-04-28,2645
AK,,2021-04-29,2913
AK,,2021-04-30,2749
AK,,2021-05-01,3386
AK,,2021-05-02,3259
AK,,2021-05-03,3187
AK,,2021-05-04,3084
AK,,2021-05-05,3064
AK,,2021-05-06,2358
AK,,2021-05-07,2321
AK,,2021-05-08,1523
AK,,2021-05-09,1275
AK,,2021-05-10,1757
AK,,2021-05-11,1840
AK,,2021-05-12,1800
AK,,2021-05-13,1706
AK,,2021-05-14,1677
AK,,2021-05-15,1760
AS,ASM,2021-01-13,453
AS,ASM,2021-01-14,424
AS,ASM,2021-01-15,586
AS,ASM,2021-01-16,494
AS,ASM,2021-01-17,439
AS,ASM,2021-01-18,402
AS,ASM,2021-01-19,376
AS,ASM,2021-01-20,391
AS,ASM,2021-01-21,385
AS,ASM,2021-01-22,384
AS,ASM,2021-01-23,390
AS,ASM,2021-01-24,532
AS,ASM,2021-01-25,501
AS,ASM,2021-01-26,508
AS,ASM,2021-01-27,539
AS,ASM,2021-01-28,489
AS,ASM,2021-01-29,479
AS,ASM,2021-01-30,442
AS,ASM,2021-01-31,268
AS,ASM,2021-02-01,388
AS,ASM,2021-02-02,349
AS,ASM,2021-02-03,283
AS,ASM,2021-02-04,310
AS,ASM,2021-02-05,301
AS,ASM,2021-02-06,333
AS,ASM,2021-02-07,333
AS,ASM,2021-02-08,214
AS,ASM,2021-02-09,274
AS,ASM,2021-02-10,322
AS,ASM,2021-02-11,322
AS,ASM,2021-02-12,429
AS,ASM,2021-02-13,446
AS,ASM,2021-02-14,446
AS,ASM,2021-02-15,498
AS,ASM,2021-02-16,490
AS,ASM,2021-02-17,422
AS,ASM,2021-02-18,394
AS,ASM,2021-02-19,177
AS,ASM,2021-02-20,337
AS,ASM,2021-02-21,485
AS,ASM,2021-02-22,439
AS,ASM,2021-02-23,387
AS,ASM,2021-02-24,496
AS,ASM,2021-02-25,496
AS,ASM,2021-02-26,581
AS,ASM,2021-02-27,371
AS,ASM,2021-02-28,223
AS,ASM,2021-03-01,217
AS,ASM,2021-03-02,323
AS,ASM,2021-03-03,191
AS,ASM,2021-03-04,269
AS,ASM,2021-03-05,184
AS,ASM,2021-03-06,184
AS,ASM,2021-03-07,184
AS,ASM,2021-03-08,184
AS,ASM,2021-03-09,78
AS,ASM,2021-03-10,374
AS,ASM,2021-03-11,296
AS,ASM,2021-03-12,296
AS,ASM,2021-03-13,296
AS,ASM,2021-03-14,296
AS,ASM,2021-03-15,382
AS,ASM,2021-03-16,382
AS,ASM,2021-03-17,86
AS,ASM,2021-03-18,86
AS,ASM,2021-03-19,86
AS,ASM,2021-03-20,86
AS,ASM,2021-03-21,86
AS,ASM,2021-03-22,388
AS,ASM,2021-03-23,423
AS,ASM,2021-03-24,505
AS,ASM,2021-03-25,509
AS,ASM,2021-03-26,600
AS,ASM,2021-03-27,604
AS,ASM,2021-03-28,604
AS,ASM,2021-03-29,216
AS,ASM,2021-03-30,259
AS,ASM,2021-03-31,476
